Marker 1.0,Marker 7.0,Time (s)
40.53846153846154,59.0,-1.0
40.76923076923077,40.0,-0.9999
47.15384615384615,6.0,-0.9998
40.84615384615385,-64.0,-0.9997
32.84615384615385,-134.0,-0.9996
20.76923076923077,-151.0,-0.9995
-11.923076923076923,-93.0,-0.9994000000000001
-49.69230769230769,21.0,-0.9993000000000001
-71.0,93.0,-0.9992000000000001
-76.76923076923077,74.0,-0.9991000000000001
-68.15384615384616,91.0,-0.9990000000000001
-37.30769230769231,147.0,-0.9989000000000001
-1.3076923076923077,129.0,-0.9988000000000001
19.923076923076923,59.0,-0.9987000000000001
27.23076923076923,-71.0,-0.9986000000000002
7.538461538461538,-271.0,-0.9985000000000002
-30.46153846153846,-463.0,-0.9984000000000002
-48.76923076923077,-606.0,-0.9983000000000002
-31.23076923076923,-669.0,-0.9982000000000002
12.384615384615385,-561.0,-0.9981000000000002
48.92307692307692,-268.0,-0.9980000000000002
57.23076923076923,40.0,-0.9979000000000002
35.53846153846154,222.0,-0.9978000000000002
-10.384615384615385,260.0,-0.9977000000000003
-42.92307692307692,211.0,-0.9976000000000003
-44.76923076923077,177.0,-0.9975000000000003
-44.46153846153846,188.0,-0.9974000000000003
-52.07692307692308,194.0,-0.9973000000000003
-40.53846153846154,174.0,-0.9972000000000003
-1.6923076923076923,197.0,-0.9971000000000003
35.07692307692308,311.0,-0.9970000000000003
57.0,436.0,-0.9969000000000003
58.53846153846154,433.0,-0.9968000000000004
37.69230769230769,260.0,-0.9967000000000004
26.615384615384617,2.0,-0.9966000000000004
37.61538461538461,-221.0,-0.9965000000000004
36.0,-357.0,-0.9964000000000004
9.076923076923077,-411.0,-0.9963000000000004
-23.692307692307693,-427.0,-0.9962000000000004
-41.76923076923077,-403.0,-0.9961000000000004
-33.92307692307692,-315.0,-0.9960000000000004
-5.6923076923076925,-231.0,-0.9959000000000005
3.230769230769231,-209.0,-0.9958000000000005
-35.53846153846154,-191.0,-0.9957000000000005
-83.46153846153847,-129.0,-0.9956000000000005
-109.23076923076923,-63.0,-0.9955000000000005
-109.61538461538461,39.0,-0.9954000000000005
-80.46153846153847,164.0,-0.9953000000000005
-43.0,190.0,-0.9952000000000005
-11.923076923076923,170.0,-0.9951000000000005
7.769230769230769,186.0,-0.9950000000000006
24.846153846153847,205.0,-0.9949000000000006
44.76923076923077,167.0,-0.9948000000000006
37.92307692307692,72.0,-0.9947000000000006
6.230769230769231,-14.0,-0.9946000000000006
-17.46153846153846,-78.0,-0.9945000000000006
-27.846153846153847,-113.0,-0.9944000000000006
-35.76923076923077,-47.0,-0.9943000000000006
-33.76923076923077,103.0,-0.9942000000000006
-18.0,225.0,-0.9941000000000006
-20.384615384615383,261.0,-0.9940000000000007
-40.46153846153846,170.0,-0.9939000000000007
-41.46153846153846,41.0,-0.9938000000000007
-32.92307692307692,5.0,-0.9937000000000007
-23.307692307692307,1.0,-0.9936000000000007
-8.23076923076923,-26.0,-0.9935000000000007
-7.461538461538462,-68.0,-0.9934000000000007
-10.461538461538462,-74.0,-0.9933000000000007
5.615384615384615,-47.0,-0.9932000000000007
21.153846153846153,-63.0,-0.9931000000000008
15.538461538461538,-63.0,-0.9930000000000008
8.384615384615385,-15.0,-0.9929000000000008
5.923076923076923,26.0,-0.9928000000000008
2.230769230769231,116.0,-0.9927000000000008
8.538461538461538,203.0,-0.9926000000000008
12.153846153846153,184.0,-0.9925000000000008
1.5384615384615385,85.0,-0.9924000000000008
-0.6923076923076923,-72.0,-0.9923000000000008
22.76923076923077,-189.0,-0.9922000000000009
45.0,-119.0,-0.9921000000000009
19.53846153846154,31.0,-0.9920000000000009
-27.615384615384617,17.0,-0.9919000000000009
-46.46153846153846,-143.0,-0.9918000000000009
-45.30769230769231,-221.0,-0.9917000000000009
-30.153846153846153,-136.0,-0.9916000000000009
-15.461538461538462,-3.0,-0.9915000000000009
-14.0,94.0,-0.991400000000001
0.7692307692307693,133.0,-0.991300000000001
30.846153846153847,111.0,-0.991200000000001
47.23076923076923,119.0,-0.991100000000001
34.30769230769231,177.0,-0.991000000000001
15.384615384615385,190.0,-0.990900000000001
11.076923076923077,143.0,-0.990800000000001
-5.076923076923077,88.0,-0.990700000000001
-24.53846153846154,48.0,-0.990600000000001
-21.307692307692307,-26.0,-0.990500000000001
-14.846153846153847,-133.0,-0.9904000000000011
-28.53846153846154,-133.0,-0.9903000000000011
-46.61538461538461,43.0,-0.9902000000000011
-48.23076923076923,287.0,-0.9901000000000011
-47.30769230769231,418.0,-0.9900000000000011
-42.38461538461539,346.0,-0.9899000000000011
-23.384615384615383,131.0,-0.9898000000000011
-10.23076923076923,-34.0,-0.9897000000000011
-10.615384615384615,-18.0,-0.9896000000000011
-25.384615384615383,100.0,-0.9895000000000012
-54.38461538461539,203.0,-0.9894000000000012
-64.15384615384616,257.0,-0.9893000000000012
