Cluster threshold 900,Start time,Stop time,Frequency,Cut off threshold
0.4786,0.0,60.0,3.566666666666667,"[1200, 'r']"
2.1449,,,,
2.418,,,,
2.8816,,,,
2.8905,,,,
3.0613,,,,
3.2015,,,,
3.3218,,,,
3.864,,,,
4.0585,,,,
4.1699,,,,
4.8197,,,,
5.6382,,,,
6.1857,,,,
6.352,,,,
6.5419,,,,
7.1054,,,,
7.9056,,,,
7.9736,,,,
8.0142,,,,
8.1415,,,,
8.3817,,,,
8.9061,,,,
9.2319,,,,
9.2876,,,,
9.9349,,,,
10.2545,,,,
10.5033,,,,
11.9416,,,,
12.3188,,,,
12.6294,,,,
12.72,,,,
12.8115,,,,
12.8188,,,,
12.8442,,,,
12.8461,,,,
12.8645,,,,
13.0317,,,,
13.0721,,,,
13.1062,,,,
13.2071,,,,
13.3402,,,,
13.9014,,,,
14.1015,,,,
14.2489,,,,
14.3561,,,,
14.7695,,,,
15.3234,,,,
15.937,,,,
16.2701,,,,
16.4015,,,,
16.5755,,,,
16.6469,,,,
16.7791,,,,
17.4751,,,,
18.2627,,,,
18.6083,,,,
18.7957,,,,
18.8393,,,,
19.1749,,,,
20.4224,,,,
20.767,,,,
20.8899,,,,
21.149,,,,
21.448,,,,
21.8489,,,,
22.1579,,,,
23.016,,,,
23.133,,,,
23.6135,,,,
24.054,,,,
25.8017,,,,
26.0241,,,,
26.1821,,,,
26.405,,,,
26.7041,,,,
27.6727,,,,
27.751,,,,
28.7422,,,,
30.2432,,,,
30.8191,,,,
32.0416,,,,
32.8622,,,,
33.305,,,,
33.3739,,,,
33.5232,,,,
33.6741,,,,
33.7911,,,,
33.9371,,,,
33.9612,,,,
33.9865,,,,
33.9883,,,,
34.0027,,,,
34.0598,,,,
34.1055,,,,
34.4343,,,,
34.4551,,,,
34.4932,,,,
34.5562,,,,
34.666,,,,
34.6924,,,,
34.7897,,,,
34.8207,,,,
34.9037,,,,
34.9954,,,,
35.0425,,,,
35.1301,,,,
35.3154,,,,
35.3508,,,,
35.5018,,,,
35.5565,,,,
35.6522,,,,
35.7005,,,,
35.7672,,,,
35.7963,,,,
35.8343,,,,
35.8948,,,,
35.9539,,,,
36.1233,,,,
36.198,,,,
36.2618,,,,
36.3327,,,,
36.4024,,,,
36.4419,,,,
36.459,,,,
36.5085,,,,
36.5616,,,,
36.7044,,,,
36.7678,,,,
36.8138,,,,
36.8465,,,,
36.8756,,,,
37.2582,,,,
37.3,,,,
37.4705,,,,
37.8336,,,,
37.9737,,,,
37.9759,,,,
38.6557,,,,
38.846,,,,
39.0582,,,,
39.5106,,,,
39.8989,,,,
40.0582,,,,
40.2075,,,,
40.3766,,,,
40.4573,,,,
40.6809,,,,
40.7822,,,,
41.0373,,,,
41.6531,,,,
42.1836,,,,
42.4827,,,,
42.5661,,,,
42.8885,,,,
42.9504,,,,
43.0362,,,,
43.1183,,,,
43.2088,,,,
43.2699,,,,
43.4222,,,,
43.4591,,,,
43.6142,,,,
43.7365,,,,
43.8074,,,,
43.9,,,,
44.1154,,,,
44.2005,,,,
44.8987,,,,
45.026,,,,
45.3655,,,,
45.4344,,,,
45.5865,,,,
45.7487,,,,
45.95,,,,
46.7976,,,,
46.991,,,,
47.1281,,,,
47.2604,,,,
47.3986,,,,
47.9303,,,,
48.9869,,,,
49.5019,,,,
49.8591,,,,
49.9724,,,,
50.0958,,,,
50.7084,,,,
50.9594,,,,
51.3658,,,,
51.6674,,,,
51.7173,,,,
51.8872,,,,
52.2259,,,,
53.3362,,,,
53.6792,,,,
53.8036,,,,
53.9991,,,,
56.1482,,,,
56.7409,,,,
57.7486,,,,
57.9194,,,,
58.0217,,,,
58.7262,,,,
58.7912,,,,
58.8818,,,,
58.9969,,,,
59.2199,,,,
59.2454,,,,
59.2472,,,,
59.361,,,,
59.4511,,,,
59.5098,,,,
59.6532,,,,
59.7415,,,,
